"towntype_Pullman","saledate","revenue","tot_items","avg_price_peritem","perc.cart_oil","perc.hash_kief","perc.wax_shatter_dab_resin","perc.uncategorized"
"Pullman",2015-09-28,2629.4547,56,46.9545482142857,0.267857142857143,0.0178571428571429,0.642857142857143,0.0535714285714286
"Pullman",2015-09-29,2211.5499,49,45.1336714285714,0.183673469387755,0.0204081632653061,0.653061224489796,0.142857142857143
"Pullman",2015-09-30,2359.0715,52,45.3667596153846,0.153846153846154,0,0.807692307692308,0.0384615384615385
"Pullman",2015-10-01,2751.8368,67,41.0721910447761,0.149253731343284,0.0895522388059701,0.567164179104478,0.194029850746269
"Pullman",2015-10-02,4119.0146,87,47.3449954022989,0.160919540229885,0.0459770114942529,0.620689655172414,0.172413793103448
"Pullman",2015-10-03,3237.7484,71,45.6020901408451,0.169014084507042,0.0140845070422535,0.633802816901408,0.169014084507042
"Pullman",2015-10-04,4079.997,86,47.4418255813953,0.255813953488372,0.0116279069767442,0.63953488372093,0.0930232558139535
"Pullman",2015-10-05,1862.9671,45,41.3992688888889,0.133333333333333,0.0888888888888889,0.644444444444444,0.133333333333333
"Pullman",2015-10-06,2459.4788,50,49.189576,0.26,0,0.52,0.22
"Pullman",2015-10-07,3107.0641,69,45.0299144927536,0.217391304347826,0.0869565217391304,0.623188405797101,0.0579710144927536
"Pullman",2015-10-08,2787.2513,62,44.9556661290323,0.112903225806452,0.032258064516129,0.67741935483871,0.129032258064516
"Pullman",2015-10-09,4219.7918,94,44.8914021276596,0.24468085106383,0.0425531914893617,0.606382978723404,0.106382978723404
"Pullman",2015-10-10,4364.1076,82,53.2208243902439,0.195121951219512,0,0.75609756097561,0.0487804878048781
"Pullman",2015-10-11,2065.9874,51,40.5095568627451,0.176470588235294,0.0196078431372549,0.764705882352941,0.0392156862745098
"Pullman",2015-10-12,3146.5201,70,44.9502871428571,0.257142857142857,0.0428571428571429,0.628571428571429,0.0714285714285714
"Pullman",2015-10-13,3515.8858,79,44.5048835443038,0.215189873417722,0.0253164556962025,0.582278481012658,0.177215189873418
"Pullman",2015-10-14,3602.1821,78,46.1818217948718,0.102564102564103,0,0.705128205128205,0.192307692307692
"Pullman",2015-10-15,3430.2197,76,45.1344697368421,0.157894736842105,0,0.671052631578947,0.171052631578947
"Pullman",2015-10-16,3484.1292,76,45.8438052631579,0.144736842105263,0.0657894736842105,0.578947368421053,0.210526315789474
"Pullman",2015-10-17,3589.9754,70,51.2853628571429,0.185714285714286,0.0142857142857143,0.642857142857143,0.157142857142857
"Pullman",2015-10-18,2455.4373,57,43.0778473684211,0.175438596491228,0,0.614035087719298,0.210526315789474
"Pullman",2015-10-19,2805.2942,62,45.2466806451613,0.145161290322581,0.032258064516129,0.580645161290323,0.241935483870968
"Pullman",2015-10-20,3286.4382,70,46.9491171428571,0.128571428571429,0.0285714285714286,0.671428571428571,0.171428571428571
"Pullman",2015-10-21,2524.0195,60,42.0669916666667,0.1,0.0333333333333333,0.75,0.116666666666667
"Pullman",2015-10-22,2745.6992,57,48.1701614035088,0.192982456140351,0.0350877192982456,0.649122807017544,0.12280701754386
"Pullman",2015-10-23,3651.6117,73,50.0220780821918,0.219178082191781,0.0410958904109589,0.547945205479452,0.191780821917808
"Pullman",2015-10-24,3070.4714,67,45.8279313432836,0.253731343283582,0.0597014925373134,0.567164179104478,0.119402985074627
"Pullman",2015-10-25,1728.1043,42,41.1453404761905,0.119047619047619,0.0238095238095238,0.80952380952381,0.0476190476190476
"Pullman",2015-10-26,2278.7621,45,50.6391577777778,0.155555555555556,0.0666666666666667,0.666666666666667,0.111111111111111
"Pullman",2015-10-27,2429.9142,55,44.1802581818182,0.2,0.0727272727272727,0.618181818181818,0.109090909090909
"Pullman",2015-10-28,2194.055,52,42.1933653846154,0.0576923076923077,0.0769230769230769,0.692307692307692,0.153846153846154
"Pullman",2015-10-29,2558.4887,60,42.6414783333333,0.0833333333333333,0.0166666666666667,0.733333333333333,0.166666666666667
"Pullman",2015-10-30,4360.4223,94,46.3874712765957,0.276595744680851,0.0319148936170213,0.617021276595745,0.0638297872340425
"Pullman",2015-10-31,4778.9025,95,50.3042368421053,0.431578947368421,0.0315789473684211,0.378947368421053,0.157894736842105
"Pullman",2015-11-01,3547.3958,73,48.5944630136986,0.205479452054795,0.0410958904109589,0.465753424657534,0.287671232876712
"Pullman",2015-11-02,2686.2275,62,43.32625,0.225806451612903,0.0483870967741935,0.629032258064516,0.0806451612903226
"Pullman",2015-11-03,4226.2993,93,45.4440784946237,0.172043010752688,0.043010752688172,0.623655913978495,0.161290322580645
"Pullman",2015-11-04,4431.7034,96,46.1635770833333,0.197916666666667,0.0520833333333333,0.666666666666667,0.0833333333333333
"Pullman",2015-11-05,3126.2989,63,49.6237920634921,0.26984126984127,0.0158730158730159,0.587301587301587,0.126984126984127
"Pullman",2015-11-06,4565.9086,98,46.5909040816327,0.336734693877551,0.0612244897959184,0.489795918367347,0.112244897959184
"Pullman",2015-11-07,3581.2622,78,45.9136179487179,0.358974358974359,0.0384615384615385,0.512820512820513,0.0897435897435897
"Pullman",2015-11-08,2466.274,56,44.0406071428571,0.178571428571429,0,0.660714285714286,0.160714285714286
"Pullman",2015-11-09,3097.5837,67,46.2325925373134,0.17910447761194,0.0746268656716418,0.552238805970149,0.194029850746269
"Pullman",2015-11-10,3514.9679,77,45.6489337662338,0.194805194805195,0.038961038961039,0.649350649350649,0.116883116883117
