"towntype","saledate","tot_items","perc_cartridge","perc_oil","perc_hash_kief","perc_wax_shatter_resin","perc_uncategorized"
"Airway Heights",2015-12-23,31,0.129032258064516,0,0.0645161290322581,0.806451612903226,0
"Airway Heights",2015-12-24,39,0.0769230769230769,0,0,0.923076923076923,0
"Airway Heights",2015-12-25,2,0,0,0,1,0
"Airway Heights",2015-12-26,45,0.155555555555556,0,0.0222222222222222,0.822222222222222,0
"Airway Heights",2015-12-27,34,0.264705882352941,0,0.0294117647058824,0.705882352941177,0
"Airway Heights",2015-12-28,14,0,0,0,1,0
"Airway Heights",2015-12-29,25,0.12,0,0.04,0.76,0.08
"Airway Heights",2015-12-30,67,0.164179104477612,0.0149253731343284,0,0.477611940298507,0.343283582089552
"Airway Heights",2015-12-31,55,0.181818181818182,0,0.0545454545454545,0.763636363636364,0
"Airway Heights",2016-01-01,45,0.0666666666666667,0,0,0.911111111111111,0.0222222222222222
"Airway Heights",2016-01-02,40,0.225,0,0,0.775,0
"Airway Heights",2016-01-03,37,0.216216216216216,0,0.027027027027027,0.756756756756757,0
"Airway Heights",2016-01-04,24,0.166666666666667,0,0.0416666666666667,0.791666666666667,0
"Airway Heights",2016-01-05,27,0.185185185185185,0,0,0.814814814814815,0
"Airway Heights",2016-01-06,46,0.130434782608696,0.0434782608695652,0.0217391304347826,0.304347826086957,0.5
"Airway Heights",2016-01-07,21,0.142857142857143,0,0,0.714285714285714,0.142857142857143
"Airway Heights",2016-01-08,29,0.310344827586207,0,0.0689655172413793,0.551724137931034,0.0689655172413793
"Airway Heights",2016-01-09,57,0.157894736842105,0,0,0.789473684210526,0.0526315789473684
"Airway Heights",2016-01-10,35,0.142857142857143,0,0,0.828571428571429,0.0285714285714286
"Airway Heights",2016-01-11,9,0,0,0.111111111111111,0.888888888888889,0
"Airway Heights",2016-01-12,37,0.324324324324324,0,0.027027027027027,0.648648648648649,0
"Airway Heights",2016-01-13,39,0.205128205128205,0,0.0256410256410256,0.769230769230769,0
"Airway Heights",2016-01-14,27,0.148148148148148,0,0.037037037037037,0.703703703703704,0.111111111111111
"Airway Heights",2016-01-15,27,0.222222222222222,0,0,0.703703703703704,0.0740740740740741
"Airway Heights",2016-01-16,45,0.177777777777778,0,0.0222222222222222,0.8,0
"Airway Heights",2016-01-17,29,0.0344827586206897,0,0,0.931034482758621,0.0344827586206897
"Airway Heights",2016-01-18,19,0.105263157894737,0,0.105263157894737,0.789473684210526,0
"Airway Heights",2016-01-19,47,0.0851063829787234,0,0.0212765957446809,0.829787234042553,0.0638297872340425
"Airway Heights",2016-01-20,31,0.0645161290322581,0,0,0.903225806451613,0.032258064516129
"Airway Heights",2016-01-21,19,0.105263157894737,0,0,0.894736842105263,0
"Airway Heights",2016-01-22,47,0.191489361702128,0,0.0638297872340425,0.702127659574468,0.0425531914893617
"Airway Heights",2016-01-23,39,0.153846153846154,0,0,0.769230769230769,0.0769230769230769
"Airway Heights",2016-01-24,34,0.147058823529412,0,0,0.764705882352941,0.0882352941176471
"Airway Heights",2016-01-25,17,0.117647058823529,0,0,0.823529411764706,0.0588235294117647
"Airway Heights",2016-01-26,23,0.0869565217391304,0,0,0.869565217391304,0.0434782608695652
"Airway Heights",2016-01-27,20,0.15,0,0,0.75,0.1
"Airway Heights",2016-01-28,38,0.184210526315789,0,0.0526315789473684,0.710526315789474,0.0526315789473684
"Airway Heights",2016-01-29,34,0.0294117647058824,0,0,0.911764705882353,0.0588235294117647
"Airway Heights",2016-01-30,64,0.125,0,0.03125,0.828125,0.015625
