"towntype","saledate","revenue","tot_items","avg_price_peritem","perc_usable","perc_extract","perc_edible","perc_other"
"Pullman",2015-11-24,22606.6303,708,31.9302687853107,0.724576271186441,0.121468926553672,0.0833333333333333,0.0706214689265537
"Ellensburg",2015-11-24,13773.295,619,22.2508804523425,0.777059773828756,0.121163166397415,0.0759289176090469,0.0258481421647819
"Airway Heights",2015-11-24,7655.5874,275,27.8384996363636,0.796363636363636,0.149090909090909,0.0545454545454545,0
NA,2015-11-24,331.6085,7,47.3726428571429,1,0,0,0
"Urban",2015-11-25,1119477.228036,41550,26.9428935748737,0.735740072202166,0.119783393501805,0.118965102286402,0.025511432009627
"NCNU",2015-11-25,991655.55838,37262,26.6130523960067,0.782083624067414,0.108126241210885,0.0877032902152327,0.0220868445064677
"Pullman",2015-11-25,21487.2718,714,30.0942182072829,0.739495798319328,0.0980392156862745,0.0812324929971989,0.0812324929971989
"Ellensburg",2015-11-25,17605.8974,757,23.2574602377807,0.735799207397622,0.124174372523118,0.0990752972258917,0.0409511228533686
"Airway Heights",2015-11-25,9353.7572,341,27.4303730205279,0.791788856304985,0.117302052785924,0.0909090909090909,0
NA,2015-11-25,241.5584,11,21.9598545454545,1,0,0,0
"Urban",2015-11-26,847908.25769,35880,23.6317797572464,0.745289855072464,0.117335562987737,0.113238573021182,0.0241360089186176
"NCNU",2015-11-26,624363.59998,25367,24.6132219016833,0.7799897504632,0.102731895770095,0.0920093034257106,0.0252690503409942
"Pullman",2015-11-26,6324.3995,197,32.1035507614213,0.67005076142132,0.131979695431472,0.0913705583756345,0.106598984771574
"Ellensburg",2015-11-26,7237.9703,272,26.6101849264706,0.768382352941177,0.150735294117647,0.0625,0.0183823529411765
"Airway Heights",2015-11-26,8213.0815,303,27.1058795379538,0.815181518151815,0.118811881188119,0.066006600660066,0
NA,2015-11-26,37.8942,2,18.9471,1,0,0,0
"Urban",2015-11-27,877061.378738,33508,26.1746860074609,0.729855556881939,0.132475826668258,0.115226214635311,0.0224424018144921
"NCNU",2015-11-27,839276.28773,33436,25.1009776208278,0.742582844837899,0.117657614547195,0.108834788850341,0.0309247517645651
"Pullman",2015-11-27,12419.7487,429,28.9504631701632,0.72960372960373,0.104895104895105,0.0606060606060606,0.104895104895105
"Ellensburg",2015-11-27,10711.2354,448,23.9090075892857,0.669642857142857,0.183035714285714,0.102678571428571,0.0446428571428571
"Airway Heights",2015-11-27,9680.1049,424,22.8304360849057,0.693396226415094,0.167452830188679,0.139150943396226,0
NA,2015-11-27,385.1892,17,22.6581882352941,1,0,0,0
"Urban",2015-11-28,1018255.397961,41092,24.7798938470019,0.730093448846491,0.120437068042441,0.126277620948116,0.0231918621629514
"NCNU",2015-11-28,917686.63483,36872,24.8884420381319,0.74796593621176,0.111005641136906,0.108537643740508,0.0324907789108266
"Pullman",2015-11-28,16490.005,519,31.7726493256262,0.709055876685935,0.102119460500963,0.123314065510597,0.0655105973025048
"Ellensburg",2015-11-28,13768.1849,588,23.4152804421769,0.675170068027211,0.185374149659864,0.0901360544217687,0.0493197278911565
"Airway Heights",2015-11-28,8695.4996,360,24.1541655555556,0.677777777777778,0.155555555555556,0.166666666666667,0
NA,2015-11-28,405.2323,17,23.8371941176471,1,0,0,0
"Urban",2015-11-29,763644.090609,31705,24.0859199056616,0.734994480365873,0.117394732692004,0.118372496451664,0.0292382904904589
"NCNU",2015-11-29,664637.80508,26883,24.723349517539,0.768552616895436,0.106535728899304,0.0958970353011197,0.0290146189041402
"Pullman",2015-11-29,15913.0021,564,28.2145427304965,0.74468085106383,0.132978723404255,0.076241134751773,0.0460992907801418
"Ellensburg",2015-11-29,10301.6876,465,22.1541668817204,0.731182795698925,0.150537634408602,0.0881720430107527,0.0301075268817204
"Airway Heights",2015-11-29,5889.8492,235,25.0631880851064,0.714893617021277,0.14468085106383,0.140425531914894,0
NA,2015-11-29,126.5058,7,18.0722571428571,1,0,0,0
"Urban",2015-11-30,646039.03991,25706,25.1318384777873,0.763673850462927,0.11316424181125,0.0967478409709795,0.0264140667548432
"NCNU",2015-11-30,680026.1191,22895,29.7019488578292,0.794758680934702,0.105525223848002,0.074339375409478,0.0253767198078183
"Pullman",2015-11-30,13958.9437,467,29.8906717344754,0.743040685224839,0.0942184154175589,0.104925053533191,0.0578158458244111
"Ellensburg",2015-11-30,12261.7877,533,23.005230206379,0.74296435272045,0.136960600375235,0.0863039399624766,0.0337711069418387
"Airway Heights",2015-11-30,5795.3603,202,28.6899024752475,0.816831683168317,0.0891089108910891,0.0940594059405941,0
NA,2015-11-30,180.0043,6,30.0007166666667,1,0,0,0
"Urban",2015-12-01,846100.29335,32569,25.9787004006878,0.769996008474316,0.120820412048267,0.0836685191439713,0.0255150603334459
"NCNU",2015-12-01,1076206.76745,30652,35.1104909125016,0.797729348819,0.107007699334464,0.0695550045674018,0.0257079472791335
"Pullman",2015-12-01,18140.3481,616,29.4486170454546,0.758116883116883,0.105519480519481,0.0698051948051948,0.0665584415584416
"Ellensburg",2015-12-01,12633.8112,545,23.1813049541284,0.765137614678899,0.144954128440367,0.0770642201834862,0.0128440366972477
"Airway Heights",2015-12-01,8218.9725,325,25.2891461538462,0.793846153846154,0.169230769230769,0.0369230769230769,0
NA,2015-12-01,127.9032,5,25.58064,1,0,0,0
"Urban",2015-12-02,766915.832545,30107,25.4730073585877,0.771016707078088,0.118045637227223,0.0873218852758495,0.0236157704188395
"NCNU",2015-12-02,767623.88622,28025,27.3906828267618,0.793077609277431,0.109794826048171,0.0735057983942908,0.023621766280107
"Pullman",2015-12-02,16089.4992,510,31.5480376470588,0.725490196078431,0.115686274509804,0.0843137254901961,0.0745098039215686
"Ellensburg",2015-12-02,11312.5558,507,22.3127333333333,0.769230769230769,0.132149901380671,0.0690335305719921,0.029585798816568
"Airway Heights",2015-12-02,6530.9133,249,26.2285674698795,0.746987951807229,0.188755020080321,0.0642570281124498,0
NA,2015-12-02,312.7162,18,17.3731222222222,1,0,0,0
"Urban",2015-12-03,814603.888819,31785,25.6285634361806,0.766650935976089,0.121503854019191,0.0871165644171779,0.0247286455875413
"NCNU",2015-12-03,766686.94596,29533,25.9603476097924,0.790031490197406,0.110249551349338,0.074086614973081,0.0256323434801747
"Pullman",2015-12-03,17175.1968,572,30.0265678321678,0.751748251748252,0.115384615384615,0.0856643356643357,0.0472027972027972
"Ellensburg",2015-12-03,14172.5404,601,23.5815980033278,0.778702163061564,0.13477537437604,0.064891846921797,0.021630615640599
"Airway Heights",2015-12-03,7756.8304,299,25.9425765886288,0.82943143812709,0.11371237458194,0.0568561872909699,0
NA,2015-12-03,288.933,18,16.0518333333333,1,0,0,0
"Urban",2015-12-04,969609.358501,36815,26.3373450631808,0.753823169903572,0.121608040201005,0.101426049164743,0.0231427407306804
"NCNU",2015-12-04,894089.36027,33816,26.4398320401585,0.781582682753726,0.114117577478117,0.0835107641353206,0.0207889756328365
"Pullman",2015-12-04,23634.555,709,33.3350564174894,0.765867418899859,0.0916784203102962,0.0888575458392102,0.0535966149506347
"Ellensburg",2015-12-04,16355.2792,677,24.1584626292467,0.765140324963072,0.156573116691285,0.0723781388478582,0.00590841949778434
"Airway Heights",2015-12-04,9789.4583,352,27.8109610795455,0.835227272727273,0.0965909090909091,0.0681818181818182,0
NA,2015-12-04,483.1716,13,37.1670461538462,1,0,0,0
"Urban",2015-12-05,1123997.396857,44292,25.3769844860697,0.738711279689334,0.126930371173124,0.11363225864716,0.020726090490382
"NCNU",2015-12-05,985041.15454,37838,26.0331189423331,0.772662402875416,0.115095935303134,0.0918388921190338,0.0204027697024156
"Pullman",2015-12-05,23636.1853,803,29.4348509339975,0.712328767123288,0.114570361145704,0.138231631382316,0.0348692403486924
"Ellensburg",2015-12-05,17557.3309,731,24.0182365253078,0.744186046511628,0.140902872777018,0.0998632010943912,0.0150478796169631
"Airway Heights",2015-12-05,8928.3585,328,27.2206051829268,0.814024390243902,0.11890243902439,0.0670731707317073,0
NA,2015-12-05,251.0662,7,35.8666,1,0,0,0
"Urban",2015-12-06,821557.619191,33941,24.2054629855043,0.752010842344068,0.112194690786954,0.114492796323031,0.0213016705459474
"NCNU",2015-12-06,700714.95353,28259,24.7961694868891,0.784634983545065,0.102728334335964,0.0879719735305566,0.0246647085884143
"Pullman",2015-12-06,17371.9973,624,27.8397392628205,0.71474358974359,0.0881410256410256,0.134615384615385,0.0625
"Ellensburg",2015-12-06,11568.0608,545,21.2257996330275,0.774311926605505,0.15045871559633,0.0605504587155963,0.0146788990825688
"Airway Heights",2015-12-06,5760.3705,262,21.9861469465649,0.790076335877863,0.141221374045802,0.0687022900763359,0
NA,2015-12-06,37.8942,2,18.9471,1,0,0,0
"Urban",2015-12-07,665271.693257,26190,25.4017446833524,0.763726613211149,0.120618556701031,0.0952271859488354,0.0204276441389843
"NCNU",2015-12-07,604772.955906,24222,24.9679199036413,0.801791759557427,0.103831227809429,0.074973164891421,0.0194038477417224
"Pullman",2015-12-07,13462.5516,442,30.4582615384615,0.769230769230769,0.108597285067873,0.083710407239819,0.0384615384615385
"Ellensburg",2015-12-07,11757.9291,574,20.4841970383275,0.818815331010453,0.0871080139372822,0.0836236933797909,0.0104529616724739
"Airway Heights",2015-12-07,5671.4575,206,27.5313470873786,0.83495145631068,0.121359223300971,0.0436893203883495,0
NA,2015-12-07,127.9032,5,25.58064,1,0,0,0
"Urban",2015-12-08,740906.687781,29700,24.9463531239394,0.768821548821549,0.120606060606061,0.087946127946128,0.0226262626262626
"NCNU",2015-12-08,690079.91068,27676,24.9342358245411,0.805499349616997,0.103013441248735,0.0703858939153057,0.0211013152189623
"Pullman",2015-12-08,14679.0157,545,26.9339737614679,0.743119266055046,0.0807339449541284,0.0807339449541284,0.0954128440366973
"Ellensburg",2015-12-08,12278.8716,534,22.9941415730337,0.741573033707865,0.157303370786517,0.0917602996254682,0.00936329588014981
"Airway Heights",2015-12-08,6619.7989,234,28.2897388888889,0.786324786324786,0.158119658119658,0.0555555555555556,0
NA,2015-12-08,303.1673,8,37.8959125,1,0,0,0
"Urban",2015-12-09,736496.591199,29972,24.5728210062392,0.771553449886561,0.120512478313092,0.0848792206058988,0.0230548511944482
"NCNU",2015-12-09,759479.906561,27685,27.4329025306484,0.798663536210945,0.102293660827163,0.0746252483294203,0.0244175546324725
